text;time;regularity;consistent;experiment;word/pseudo
barge;603;yes;yes;2;word
baste;605;yes;no;2;word
bath;706;yes;;1;word
beed;757;yes;;1;pseudo
beef;549;yes;;1;word
beef;509;no;yes;2;word
been;677;no;no;#;word
beld;598;yes;;1;pseudo
bild;653;no;;1;pseudo
bink;573;yes;;1;pseudo
bint;707;no;;1;pseudo
blead;580;no;;1;pseudo
bleam;587;yes;;1;pseudo
bleed;567;yes;;1;word
blood;676;no;;1;word
bond;550;no;yes;2;word
bone;549;yes;no;2;word
bood;809;no;;1;pseudo
boon;674;yes;yes;2;word
boot;544;yes;no;2;word
bore;544;yes;yes;2;word
bort;609;yes;;1;pseudo
bost;613;no;;1;pseudo
both;601;no;no;#;word
braid;598;yes;no;2;word
brain;510;yes;yes;2;word
bread;577;no;;1;word
break;555;no;no;2;word
breed;560;yes;;1;word
brief;560;no;yes;2;word
broad;612;no;no;2;word
brobe;684;yes;;1;pseudo
brood;704;yes;no;2;word
broom;587;no/yes;yes;2;word
brove;677;no;;1;pseudo
buff;584;yes;;1;word
bull;559;no;;1;word
bush;598;no;no;#;word
bust;527;yes/no;yes;#;word
cage;483;yes;yes;2;word
carve;554;no;yes;;word
caste;656;no;no;2;word
cath;604;yes;;1;pseudo
cobe;594;yes;;1;pseudo
code;618;yes/no/yes;yes;#;word
cold;651;yes;;1;word
comb;605;no;;1;word
come;644;no;no;#;word
cone;524;yes;no;2;word
cose;655;no;;1;pseudo
coth;725;no;;1;pseudo
cove;574;yes;no;2;word
dead;676;no;;1;word
deaf;609;no;no;#;word
deal;551;yes/no;yes;#;word
dean;571;yes;;1;word
dere;617;no;;1;pseudo
dold;550;yes;;1;pseudo
domb;910;no;;1;pseudo
dome;576;yes;no;2;word
done;543;no;no;#;word
doon;606;yes;;1;pseudo
doot;561;no;;1;pseudo
dope;493;no/yes;yes;2;word
dore;610;yes;;1;pseudo
dread;669;no;;1;word
dream;577;yes;;1;word
dreed;662;yes;;1;pseudo
drood;656;no;;1;pseudo
dull;534;yes;no;2;word
dump;503;yes;yes;2;word
dune;561;yes;;1;word
fead;638;no;;1;pseudo
feal;579;yes;;1;pseudo
feed;522;no;yes;2;word
feel;550;yes;yes;2;word
feet;669;yes;;1;word
fine;524;yes;yes;2;word
five;573;yes;no;2;word
fleet;544;no;yes;2;word
flood;560;no;no;2;word
fluff;559;yes;yes;2;word
flush;570;yes;no;2;word
fool;549;yes;no;2;word
foot;624;no;no;#;word
full;535;no;no;2;word
funk;619;no;yes;2;word
gate;542;no;yes;2;word
give;503;no;no;2;word
goad;628;yes;;1;word
goal;521;yes;yes;2;word
gode;749;yes;;1;pseudo
goes;567;yes;no;2;word
gome;714;no;;1;pseudo
gone;546;no;no;2;word
good;658;no;;1;word
gore;531;no;yes;2;word
grate;567;yes;yes;2;word
gray;453;yes;yes;2;word
great;635;no;no;#;word
greed;676;yes;;1;word
greek;505;no;yes;2;word
grook;706;no;;1;pseudo
grool;642;yes;;1;pseudo
gross;561;no;no;2;word
grove;642;yes;no;2;word
grow;524;yes;no;2;word
gruff;579;no;yes;2;word
gull;568;yes;no;2;word
gulp;618;yes;yes;2;word
haid;588;no;;1;pseudo
have;636;no;no;#;word
haze;547;yes/no;yes;#;word
head;667;no;;1;word
heaf;630;no;;1;pseudo
hean;614;yes;;1;pseudo
heat;543;yes;;1;word
heed;604;yes;;1;word
heef;607;yes;;1;pseudo
heen;586;no;;1;pseudo
here;527;yes;no;2;word
hire;482;yes;yes;2;word
hode;566;yes;;1;pseudo
hoil;656;yes;;1;pseudo
hole;465;yes;yes;2;word
home;464;yes;no;2;word
hood;558;no;;1;word
hoof;590;no;no;#;word
hoop;546;yes/no;yes;#;word
hove;684;no;;1;pseudo
lail;590;yes;;1;pseudo
leaf;522;yes;no;2;word
leap;529;yes;yes;2;word
life;507;no;yes;2;word
lobe;586;yes/no;yes;#;word
lode;604;yes;;1;word
loft;535;yes;yes;2;word
lole;584;yes;;1;pseudo
lome;649;no;;1;pseudo
lool;575;no;;1;pseudo
lose;595;no;no;#;word
loss;547;yes;no;2;word
love;641;no;no;#;word
meak;535;yes;;1;pseudo
mear;557;no;;1;pseudo
meld;554;yes;;1;word
mild;545;no;;1;word
mock;517;yes;yes;2;word
mode;532;yes;;1;word
mole;469;no;yes;2;word
mone;641;no;;1;pseudo
moof;543;no;;1;pseudo
moop;665;yes;;1;pseudo
most;509;no;;1;word
moth;555;yes;no;2;word
move;601;no;no;#;word
mune;621;yes;;1;pseudo
must;577;yes;;1;word
none;522;no;no;#;word
nose;497;yes;no;2;word
note;594;yes/no/yes;yes;#;word
nush;621;no;;1;pseudo
nust;522;yes;;1;pseudo
paid;582;yes;no;2;word
pail;536;yes;yes;2;word
peak;551;yes;no;2;word
peal;572;yes;yes;2;word
pear;561;no;no;2;word
peas;531;no;yes;2;word
peet;625;yes;;1;pseudo
pild;612;no;;1;pseudo
pilt;598;yes;;1;pseudo
pink;601;yes/no;yes;#;word
pint;610;no;no;#;word
plaid;722;no;no;#;word
plain;599;yes/no;yes;#;word
plays;495;yes;no;2;word
pleas;553;yes;yes;2;word
plore;609;yes;;1;pseudo
plove;676;no;;1;pseudo
plow;563;no;no;#;word
ploy;556;no;yes;2;word
pluck;540;yes;yes;2;word
plush;562;yes;no;2;word
poach;577;yes;yes;2;word
pode;613;yes;;1;pseudo
pold;624;yes;;1;pseudo
pomb;643;no;;1;pseudo
poot;610;no;;1;pseudo
pork;489;yes;no;2;word
port;639;yes;yes;#;word
posh;643;yes;;1;word
post;566;no;;1;word
pouch;584;yes;no;2;word
pove;641;no;;1;pseudo
praid;643;no;;1;pseudo
prain;665;yes;;1;pseudo
probe;582;yes;;1;word
proof;570;yes;no;2;word
proud;445;yes;yes;2;word
prove;627;no;no;#;word
prune;512;no;yes;2;word
puff;557;yes;;1;word
pull;593;no;no;#;word
pulp;520;no;yes;2;word
pump;612;no;yes;2;word
push;620;no;no;#;word
said;658;no;no;#;word
sail;533;no;yes;2;word
same;491;no;yes;2;word
sand;512;yes;no;2;word
sank;548;yes;yes;2;word
says;536;no;no;2;word
seam;523;yes;yes;2;word
sear;540;yes;no;2;word
seat;504;yes;no;2;word
seed;496;yes;yes;2;word
seen;521;yes;no;2;word
sees;483;yes;yes;2;word
shaft;483;no;yes;2;word
shall;496;no;no;2;word
shame;489;yes;yes;2;word
shead;747;no;;1;pseudo
sheed;662;yes;;1;pseudo
sheet;516;yes;yes;2;word
shoes;454;no;no;2;word
shone;521;yes;no;2;word
shoot;476;yes;no;2;word
shore;605;yes;;1;word
shout;432;no;yes;2;word
shove;672;no;;1;word
soad;629;yes;;1;pseudo
soil;630;yes;;1;word
sole;679;yes;;1;word
some;622;no;no;#;word
sood;596;no;;1;pseudo
soon;600;yes/no;yes;#;word
soot;718;no;no;#;word
sost;695;no;;1;pseudo
speat;691;no;;1;pseudo
speet;689;yes;;1;pseudo
spook;645;no;;1;word
spool;735;yes;;1;word
steak;763;no;no;#;word
steal;649;yes;;1;word
steam;514;no;yes;2;word
steat;757;no;;1;pseudo
steet;692;yes;;1;pseudo
stink;545;yes;yes;2;word
stint;622;yes;no;2;word
sues;629;no;yes;2;word
suff;648;yes;;1;pseudo
sull;630;no;;1;pseudo
sust;628;yes;;1;pseudo
sweak;690;no;;1;pseudo
sweal;673;yes;;1;pseudo
sweat;786;no;;1;word
sweet;684;yes;;1;word
tave;598;no;;1;pseudo
taze;611;yes;;1;pseudo
teach;474;no;yes;2;word
tied;532;yes;yes;2;word
toad;534;yes;no;2;word
told;574;yes;;1;word
tomb;707;no;;1;word
touch;520;no;no;2;word
wade;520;yes;yes;2;word
wail;532;yes;no;#;word
wait;511;no;yes;2;word
walk;489;no/yes;yes;2;word
wand;554;no;no;2;word
ware;523;no;yes;2;word
wave;528;yes;no;2;word
wead;630;no;;1;pseudo
weak;500;yes;no;2;word
wear;561;no;;1;word
weat;627;yes;;1;pseudo
weep;538;yes;yes;2;word
were;567;no;no;#;word
wild;592;no;;1;word
wilt;575;yes;;1;word
woke;544;yes;yes;2;word
wone;599;no;;1;pseudo
wool;571;no;no;#;word
wore;582;yes;;1;word
work;506;no;no;2;word
worn;545;no;yes;2;word
wosh;761;yes;;1;pseudo
wote;562;yes;;1;pseudo
wove;536;yes;no;2;word
wuff;525;yes;;1;pseudo
wull;678;no;;1;pseudo
wush;580;no;;1;pseudo
